"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","bgg_game_url"
"A","9","1","328871","Terraforming Mars: Ares Expedition","9.708","3","https://boardgamegeek.com/boardgame/328871"
"A","9","2","242302","Space Base","8.999","8","https://boardgamegeek.com/boardgame/242302"
"A","9","3","356414","Space Station Phoenix","9.125","6","https://boardgamegeek.com/boardgame/356414"
"A","9","4","232832","Century: Golem Edition","8.983","22","https://boardgamegeek.com/boardgame/232832"
"A","9","5","218509","Empires of the Void II","9.042","3","https://boardgamegeek.com/boardgame/218509"
"A","9","6","223040","Fantasy Realms","8.967","15","https://boardgamegeek.com/boardgame/223040"
"A","9","7","167791","Terraforming Mars","8.951","15","https://boardgamegeek.com/boardgame/167791"
"A","9","8","317985","Beyond the Sun","8.92","6","https://boardgamegeek.com/boardgame/317985"
"A","9","9","237179","Weather Machine","8.904","6","https://boardgamegeek.com/boardgame/237179"
"A","9","10","289565","Hunted: Mining Colony 415","8.872","4","https://boardgamegeek.com/boardgame/289565"
"A","9","11","230253","Star Realms: Frontiers","8.856","4","https://boardgamegeek.com/boardgame/230253"
"A","9","12","257499","Arkham Horror (Third Edition)","8.84","3","https://boardgamegeek.com/boardgame/257499"
"A","9","13","326485","Cthulhu Wars: Duel","8.825","3","https://boardgamegeek.com/boardgame/326485"
"A","9","14","155065","Lifeform","8.809","3","https://boardgamegeek.com/boardgame/155065"
"A","9","15","184267","On Mars","8.793","3","https://boardgamegeek.com/boardgame/184267"
"A","9","16","417197","Rebirth","8.777","3","https://boardgamegeek.com/boardgame/417197"
"A","9","17","202426","Sidereal Confluence","8.761","3","https://boardgamegeek.com/boardgame/202426"
"A","9","18","306481","Tawantinsuyu: The Inca Empire","8.745","3","https://boardgamegeek.com/boardgame/306481"
"A","9","19","296237","Warp's Edge","8.729","3","https://boardgamegeek.com/boardgame/296237"
"A","9","20","349948","Ceres","8.714","2","https://boardgamegeek.com/boardgame/349948"
"A","9","21","312251","Curious Cargo","8.698","2","https://boardgamegeek.com/boardgame/312251"
"A","9","22","284378","Kanban EV","8.65","2","https://boardgamegeek.com/boardgame/284378"
"A","9","23","310100","Nemesis: Lockdown","8.634","2","https://boardgamegeek.com/boardgame/310100"
"A","9","24","266810","Paladins of the West Kingdom","8.618","2","https://boardgamegeek.com/boardgame/266810"
"A","9","25","281258","Sub Terra II: Inferno's Edge","8.603","2","https://boardgamegeek.com/boardgame/281258"
"A","9","26","319966","The King Is Dead: Second Edition","8.587","2","https://boardgamegeek.com/boardgame/319966"
"A","9","27","299450","Tsukuyumi: Full Moon Down (Second Edition)","8.571","2","https://boardgamegeek.com/boardgame/299450"
"A","9","28","373600","Cthulhu: Death May Die – Fear of the Unknown","8.555","1","https://boardgamegeek.com/boardgame/373600"
"A","9","29","62219","Dominant Species","8.539","1","https://boardgamegeek.com/boardgame/62219"
"A","9","30","262941","Dominant Species: Marine","8.523","1","https://boardgamegeek.com/boardgame/262941"
"A","9","31","146021","Eldritch Horror","8.507","1","https://boardgamegeek.com/boardgame/146021"
"A","9","32","198609","Fate of the Elder Gods","8.492","1","https://boardgamegeek.com/boardgame/198609"
"A","9","33","329148","Hunted: Wode Ridge","8.476","1","https://boardgamegeek.com/boardgame/329148"
"A","9","34","325494","ISS Vanguard","8.46","1","https://boardgamegeek.com/boardgame/325494"
