"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_comment","notes","bgg_game_url"
"B","8","1","266524","PARKS","8.205","2","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/266524"
"B","8","2","331401","Dog Park","7.999","2","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/331401"
"B","8","3","173346","7 Wonders Duel","8.192","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/173346"
"B","8","4","54043","Jaipur","7.989","18","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/54043"
"B","8","5","340466","Unfathomable","8.178","1","True","False","False","False","True","OwnedToExit","","","https://boardgamegeek.com/boardgame/340466"
"B","8","6","286160","Godspeed","7.979","2","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/286160"
"B","8","7","230253","Star Realms: Frontiers","8.151","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/230253"
"B","8","8","10630","Memoir '44","7.97","18","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/10630"
"B","8","9","223040","Fantasy Realms","8.137","15","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/223040"
"B","8","10","205059","Mansions of Madness: Second Edition","7.96","1","True","False","False","False","True","OwnedToExit","","","https://boardgamegeek.com/boardgame/205059"
"B","8","11","193037","Dead of Winter: The Long Night","8.109","2","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/193037"
"B","8","12","247143","Senshi","7.95","9","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/247143"
"B","8","13","170216","Blood Rage","8.068","3","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/170216"
"B","8","14","276997","X-ODUS: Rise of the Corruption","7.94","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/276997"
"B","8","15","265017","Tortuga 2199","8.027","3","False","False","False","False","True","OwnedToExit","","","https://boardgamegeek.com/boardgame/265017"
"B","8","16","226320","My Little Scythe","7.93","8","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/226320"
"B","8","17","226631","War of the Worlds: The New Wave","7.921","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/226631"
"B","8","18","258779","Planet Unknown","7.911","8","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/258779"
"B","8","19","68425","Eminent Domain","7.901","10","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/68425"
"B","8","20","291453","SCOUT","7.891","8","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/291453"
"B","8","21","163412","Patchwork","7.881","7","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/163412"
"B","8","22","133848","Euphoria: Build a Better Dystopia","7.872","6","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/133848"
"B","8","23","221194","Dinosaur Island","7.862","5","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/221194"
"B","8","24","361545","Twilight Inscription","7.852","5","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/361545"
"B","8","25","242574","Century: Eastern Wonders","7.842","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/242574"
"B","8","26","289566","Hunted: Kobayashi Tower","7.832","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/289566"
"B","8","27","299178","Small Railroad Empires","7.823","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/299178"
"B","8","28","163967","Tiny Epic Galaxies","7.813","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/163967"
"B","8","29","366495","Undaunted: Battle of Britain","7.803","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/366495"
"B","8","30","248490","Atlantis Rising (Second Edition)","7.793","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/248490"
"B","8","31","264052","Circadians: First Light","7.784","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/264052"
"B","8","32","183571","Deep Space D-6","7.774","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/183571"
"B","8","33","317859","Forests of Pangaia","7.764","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/317859"
"B","8","34","242684","Reavers of Midgard","7.754","3","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/242684"
"B","8","35","307002","Regicide","7.744","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/307002"
"B","8","36","298231","Skyrise","7.735","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/298231"
"B","8","37","284616","Small Samurai Empires","7.725","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/284616"
"B","8","38","142079","Space Cadets: Dice Duel","7.715","3","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/142079"
"B","8","39","324856","The Crew: Mission Deep Sea","7.705","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/324856"
"B","8","40","274364","Watergate","7.695","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/274364"
"B","8","41","231581","AuZtralia","7.686","2","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/231581"
"B","8","42","356768","Bloc by Bloc: Uprising","7.676","2","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/356768"
"B","8","43","317457","Dinosaur World","7.666","2","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/317457"
"B","8","44","316554","Dune: Imperium","7.656","2","True","False","True","False","False","Owned","Need more plays to see if its a keeper","","https://boardgamegeek.com/boardgame/316554"
"B","8","45","315727","Last Light","7.646","2","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/315727"
