"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_comment","notes","bgg_game_url"
"C","7","1","230253","Star Realms: Frontiers","6.999","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/230253"
"C","7","2","223040","Fantasy Realms","6.989","15","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/223040"
"C","7","3","194594","Dice Forge","6.98","3","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/194594"
"C","7","4","193037","Dead of Winter: The Long Night","6.97","2","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/193037"
"C","7","5","54","Tikal","6.961","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/54"
"C","7","6","170216","Blood Rage","6.951","3","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/170216"
"C","7","7","269210","Twice as Clever!","6.942","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/269210"
"C","7","8","205059","Mansions of Madness: Second Edition","6.932","1","True","False","False","False","True","OwnedToExit","","","https://boardgamegeek.com/boardgame/205059"
"C","7","9","68425","Eminent Domain","6.923","10","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/68425"
"C","7","10","146652","Legendary Encounters: An Alien Deck Building Game","6.913","2","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/146652"
"C","7","11","177639","Raptor","6.904","2","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/177639"
"C","7","12","34635","Stone Age","6.894","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/34635"
"C","7","13","283095","Cosmic Colonies","6.885","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/283095"
"C","7","14","224517","Brass: Birmingham","6.875","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/224517"
