"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_game_url"
"F","5","1","4279","Flux","4.999","3","True","False","False","False","False","Owned","https://boardgamegeek.com/boardgame/4279"
"F","5","2","247567","D-Day Dice Pocket","4.832","1","True","False","False","False","False","Owned","https://boardgamegeek.com/boardgame/247567"
"F","5","3","163170","Firefly: Shiny Dice","4.666","1","True","False","False","False","True","OwnedToExit","https://boardgamegeek.com/boardgame/163170"
"F","5","4","136063","Forbidden Desert","4.499","1","True","False","False","False","False","Owned","https://boardgamegeek.com/boardgame/136063"
"F","5","5","171226","Starfighter","4.332","1","True","False","False","False","False","Owned","https://boardgamegeek.com/boardgame/171226"
"F","4","6","194626","Happy Salmon","4.166","1","True","False","False","False","False","Owned","https://boardgamegeek.com/boardgame/194626"
"F","5","7","342942","Ark Nova","3.999","3","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/342942"
"F","5","8","169426","Roll Player","3.833","2","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/169426"
"F","5","9","292032","Funkoverse Strategy Game: Harry Potter 100","3.666","1","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/292032"
"F","5","10","194607","Mystic Vale","3.499","1","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/194607"
"F","5","11","244711","Newton","3.333","1","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/244711"
"F","5","12","269385","The Lord of the Rings: Journeys in Middle-Earth","3.166","1","False","True","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/269385"
"F","5","13","381083","WitchDraft","3","1","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/381083"
"F","5","14","1927","Munchkin Deluxe","2.833","0","False","True","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/1927"
"F","5","15","244992","The Mind","2.666","0","False","True","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/244992"
"F","4","16","2425","Battleship","2.5","2","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/2425"
"F","4","17","244521","Quacks","2.333","2","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/244521"
"F","4","18","280748","Escape the Dark Sector","2.166","1","False","True","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/280748"
"F","4","19","150145","Skull King","2","1","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/150145"
"F","3","20","40692","Small World","1.833","2","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/40692"
"F","3","21","269207","The Taverns of Tiefenthal","1.666","2","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/269207"
"F","3","22","277061","Dino Duel","1.5","1","False","True","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/277061"
"F","3","23","162886","Spirit Island","1.333","1","False","True","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/162886"
"F","1","24","430616","Chichén Itzá","1.167","0","False","False","False","False","False","NotOwned","https://boardgamegeek.com/boardgame/430616"
"F","1","25","329713","Dune: House Secrets","1","0","True","False","False","False","True","OwnedToExit","https://boardgamegeek.com/boardgame/329713"
