"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_comment","notes","bgg_game_url"
"S","10","1","381715","Teotihuacan: City of Gods – Deluxe Master Set","9.999","37","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/381715"
"S","10","2","382518","Sankoré: The Pride of Mansa Musa","9.961","7","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/382518"
"S","10","3","337627","Voidfall","9.922","13","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/337627"
"S","10","4","367150","Dune: War for Arrakis","9.884","2","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/367150"
"S","10","5","391137","Galactic Cruise","9.845","5","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/391137"
"S","10","6","375459","Speakeasy","9.807","1","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/375459"
"S","10","7","122842","Exodus: Proxima Centauri","9.768","6","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/122842"
"S","10","8","297030","Tekhenu: Obelisk of the Sun","9.73","5","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/297030"
"S","10","9","82222","Xia: Legends of a Drift System","9.692","5","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/82222"
"S","10","10","304510","Pampero","9.653","1","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/304510"
"S","10","11","347305","Inventions: Evolution of Ideas","9.615","5","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/347305"
"S","10","12","348877","Lobotomy 2: Manhunt","9.576","2","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/348877"
"S","10","13","358661","Andromeda's Edge","9.538","3","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/358661"
"S","10","14","246900","Eclipse: Second Dawn for the Galaxy","9.5","1","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/246900"
"S","10","15","418059","SETI: Search for Extraterrestrial Intelligence","9.461","6","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/418059"
"S","10","16","345868","Federation","9.423","15","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/345868"
"S","10","17","167355","Nemesis","9.384","2","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/167355"
"S","10","18","425630","Baghdad: The City of Peace","9.346","1","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/425630"
"S","10","19","253344","Cthulhu: Death May Die","9.307","6","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/253344"
"S","10","20","380707","Vindication: Archive of the Ancients","9.269","2","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/380707"
"S","10","21","290484","Unsettled","9.231","2","True","False","True","False","False","Owned",,,"https://boardgamegeek.com/boardgame/290484"
"S","10","22","277659","Final Girl","9.192","1","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/277659"
"S","10","23","37111","Battlestar Galactica: The Board Game","9.154","1","True","False","False","False","False","Owned",,,"https://boardgamegeek.com/boardgame/37111"
"S","10","24","270239","Moonrakers","9.115","1","False","False","False","False","False","NotOwned",,,"https://boardgamegeek.com/boardgame/270239"
"S","10","25","270408","Exodus Chronicles","9.077","0","False","False","True","False","False","NotOwned",,,"https://boardgamegeek.com/boardgame/270408"
"S","10","26","72125","Eclipse: New Dawn for the Galaxy","9.038","2","False","False","False","False","False","NotOwned",,,"https://boardgamegeek.com/boardgame/72125"
"S","10","27","132531","Roll for the Galaxy","9","7","False","False","False","False","False","NotOwned",,,"https://boardgamegeek.com/boardgame/132531"
"S","10","28","329500","Unconscious Mind","10","1","False","False","False","True","False","NotOwned",,,"https://boardgamegeek.com/boardgame/329500"
