"bgg_id","name","num_plays","year_published","players","complexity","bgg_rating","current_rating","bgg_comment","notes","new_rating","bgg_game_url"
"4390","Carcassonne: Hunters and Gatherers","3","2002","2-5","1.9223","7.13052","0","","","","https://boardgamegeek.com/boardgame/4390"
"264055","Draftosaurus","3","2019","2-5","1.2412","7.07944","0","","","","https://boardgamegeek.com/boardgame/264055"
"256589","Rallyman: GT","3","2020","1-6","2.1972","7.09835","0","","","","https://boardgamegeek.com/boardgame/256589"
"54137","Battle Sheep","2","2010","2-4","1.4639","6.59987","0","","","","https://boardgamegeek.com/boardgame/54137"
"5782","Coloretto","2","2003","2-5","1.2694","6.98196","0","","","","https://boardgamegeek.com/boardgame/5782"
"40004","Contract Rummy","2","1930","3-8","1.7059","6.35982","0","","","","https://boardgamegeek.com/boardgame/40004"
"334320","Langskip","2","2022","2-4","","7.3","0","","","","https://boardgamegeek.com/boardgame/334320"
"428099","Revenant","2","2026","1-4","4.1558","7.91275","0","","","","https://boardgamegeek.com/boardgame/428099"
"108745","Seasons","2","2012","2-4","2.7845","7.33016","0","","","","https://boardgamegeek.com/boardgame/108745"
"206327","The King's Guild","2","2018","1-6","2.3556","7.01646","0","","","","https://boardgamegeek.com/boardgame/206327"
"155987","Abyss","1","2014","2-4","2.3201","7.31895","0","","","","https://boardgamegeek.com/boardgame/155987"
"298635","Alice's Garden","1","2020","1-4","1.4333","7.1082","0","","","","https://boardgamegeek.com/boardgame/298635"
"296167","Boomerang: Australia","1","2020","2-4","1.5263","6.83367","0","","","","https://boardgamegeek.com/boardgame/296167"
"199383","Calimala","1","2017","2-5","2.8039","7.31661","0","","","","https://boardgamegeek.com/boardgame/199383"
"269789","Caravan","1","2019","2-4","1.7692","6.5601","0","","","","https://boardgamegeek.com/boardgame/269789"
"407318","Cascadia: Rolling Rivers","1","2024","1-4","1.9286","7.16683","0","","","","https://boardgamegeek.com/boardgame/407318"
"225694","Decrypto","1","2018","3-8","1.8253","7.7627","0","","","","https://boardgamegeek.com/boardgame/225694"
"15512","Diamant","1","2005","3-8","1.1133","6.84943","0","","","","https://boardgamegeek.com/boardgame/15512"
"231038","Dreamscape","1","2019","1-4","3.1282","7.24271","0","","","","https://boardgamegeek.com/boardgame/231038"
"173442","Empires: Age of Discovery","1","2015","2-6","3.3125","7.81072","0","","","","https://boardgamegeek.com/boardgame/173442"
"88594","Eruption","1","2011","2-6","2.0172","6.07574","0","","","","https://boardgamegeek.com/boardgame/88594"
"155703","Evolution","1","2014","2-6","2.4305","6.99914","0","","","","https://boardgamegeek.com/boardgame/155703"
"221230","Farlight","1","2017","2-5","2.4762","6.78716","0","","","","https://boardgamegeek.com/boardgame/221230"
"207336","Honshū","1","2016","2-5","1.9245","6.87946","0","","","","https://boardgamegeek.com/boardgame/207336"
"122515","Keyflower","1","2012","2-6","3.3308","7.7073","0","","","","https://boardgamegeek.com/boardgame/122515"
"140620","Lewis & Clark: The Expedition","1","2013","1-5","3.3179","7.42869","0","","","","https://boardgamegeek.com/boardgame/140620"
"328479","Living Forest","1","2021","1-4","2.2151","7.21642","0","","","","https://boardgamegeek.com/boardgame/328479"
"248861","Metro X","1","2018","1-6","1.7407","7.09202","0","","","","https://boardgamegeek.com/boardgame/248861"
"381248","Nemesis: Retaliation","1","2025","1-5","3.7794","8.66293","0","April 2025","","","https://boardgamegeek.com/boardgame/381248"
"434367","Nippon: Zaibatsu","1","2026","1-4","3.601","8.50447","0","","","","https://boardgamegeek.com/boardgame/434367"
"234277","Nusfjord","1","2017","1-5","2.875","7.63361","0","","","","https://boardgamegeek.com/boardgame/234277"
"176803","Overseers","1","2015","3-6","2","6.59439","0","","","","https://boardgamegeek.com/boardgame/176803"
"2136","Pachisi","1","400","2-6","1.1747","4.53843","0","","","","https://boardgamegeek.com/boardgame/2136"
"148205","Penny Press","1","2015","2-5","2.1944","6.4345","0","","","","https://boardgamegeek.com/boardgame/148205"
"419793","Pyramido: Forgotten Treasures","1","2025","1-4","1.5","6.50038","0","","","","https://boardgamegeek.com/boardgame/419793"
"143519","Quantum","1","2013","2-4","2.4781","7.2204","0","","","","https://boardgamegeek.com/boardgame/143519"
"379706","Quartermaster General: East Front","1","2023","2","2.5625","7.24351","0","","","","https://boardgamegeek.com/boardgame/379706"
"262712","Res Arcana","1","2019","2-4","2.6566","7.60498","0","","","","https://boardgamegeek.com/boardgame/262712"
"358284","Rome in a Day","1","2023","2-5","1.7097","6.97832","0","","","","https://boardgamegeek.com/boardgame/358284"
"9220","Saboteur","1","2004","3-10","1.3156","6.53748","0","","","","https://boardgamegeek.com/boardgame/9220"
"2375","Sequence","1","1982","2-12","1.3062","6.19323","0","","","","https://boardgamegeek.com/boardgame/2375"
"75358","SNCF: France & Germany","1","2010","3-6","1.8144","6.6603","0","","","","https://boardgamegeek.com/boardgame/75358"
"121015","Tea Time","1","2012","2-4","1.2","5.81836","0","","","","https://boardgamegeek.com/boardgame/121015"
"162263","Temporum","1","2014","2-5","2.1698","6.34682","0","","","","https://boardgamegeek.com/boardgame/162263"
"105037","Tournay","1","2011","2-4","2.9","6.93697","0","","","","https://boardgamegeek.com/boardgame/105037"
"429895","Vestige","1","2026","1-4","3","7.74003","0","","","","https://boardgamegeek.com/boardgame/429895"
"0","","0","0","","","","0","","","","https://boardgamegeek.com/boardgame/0"
"400205","5 Towers","0","2023","2-5","1.2268","6.69037","0","","","","https://boardgamegeek.com/boardgame/400205"
