"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","players","complexity","bgg_rating","bgg_comment","notes","bgg_game_url"
"S","10","1","381715","Teotihuacan: City of Gods – Deluxe Master Set","9.999","38","True","False","True","False","False","Owned","1-4","3.9118","8.41282","September 2024 (soon)","","https://boardgamegeek.com/boardgame/381715"
"S","10","2","382518","Sankoré: The Pride of Mansa Musa","9.962","7","True","False","False","False","False","Owned","1-4","4.2554","7.94531","","","https://boardgamegeek.com/boardgame/382518"
"S","10","3","337627","Voidfall","9.925","13","True","False","True","False","False","Owned","1-4","4.6224","8.49857","","","https://boardgamegeek.com/boardgame/337627"
"S","10","4","367150","Dune: War for Arrakis","9.888","2","True","False","False","False","False","Owned","1-4","3.6453","8.48027","","","https://boardgamegeek.com/boardgame/367150"
"S","10","5","391137","Galactic Cruise","9.851","5","True","False","False","False","False","Owned","1-4","3.9808","8.28294","Production","","https://boardgamegeek.com/boardgame/391137"
"S","10","6","375459","Speakeasy","9.814","1","True","False","False","False","False","Owned","1-4","4.4328","8.42237","","","https://boardgamegeek.com/boardgame/375459"
"S","10","7","122842","Exodus: Proxima Centauri","9.777","6","True","False","False","False","False","Owned","2-6","3.6091","7.1338","","","https://boardgamegeek.com/boardgame/122842"
"S","10","8","297030","Tekhenu: Obelisk of the Sun","9.74","5","True","False","True","False","False","Owned","1-4","4.0702","7.65911","","","https://boardgamegeek.com/boardgame/297030"
"S","10","9","82222","Xia: Legends of a Drift System","9.703","5","True","False","True","False","False","Owned","3-5","3.2029","7.85298","","","https://boardgamegeek.com/boardgame/82222"
"S","10","10","304510","Pampero","9.666","1","True","False","False","False","False","Owned","1-4","3.9412","7.44434","? ship 29th July 2024","","https://boardgamegeek.com/boardgame/304510"
"S","10","11","347305","Inventions: Evolution of Ideas","9.629","5","True","False","False","False","False","Owned","1-4","4.5969","7.91321","","","https://boardgamegeek.com/boardgame/347305"
"S","10","12","348877","Lobotomy 2: Manhunt","9.592","2","True","False","True","False","False","Owned","1-5","3.1333","8.0114","","","https://boardgamegeek.com/boardgame/348877"
"S","10","13","358661","Andromeda's Edge","9.555","3","True","False","False","False","False","Owned","2-4","3.7445","8.23651","September 2024","","https://boardgamegeek.com/boardgame/358661"
"S","10","14","403150","World Order","9.518","2","True","False","False","False","False","Owned","2-4","3.7863","8.13963","","","https://boardgamegeek.com/boardgame/403150"
"S","10","15","246900","Eclipse: Second Dawn for the Galaxy","9.481","1","True","False","True","False","False","Owned","2-6","3.6688","8.38015","","","https://boardgamegeek.com/boardgame/246900"
"S","10","16","418059","SETI: Search for Extraterrestrial Intelligence","9.444","6","True","False","True","False","False","Owned","1-4","3.8357","8.41194","","","https://boardgamegeek.com/boardgame/418059"
"S","10","17","345868","Federation","9.407","16","True","False","False","False","False","Owned","2-4","3.759","7.81732","","","https://boardgamegeek.com/boardgame/345868"
"S","10","18","167355","Nemesis","9.37","2","True","False","False","False","False","Owned","1-5","3.4916","8.24282","","","https://boardgamegeek.com/boardgame/167355"
"S","10","19","425630","Baghdad: The City of Peace","9.333","2","True","False","False","False","False","Owned","1-4","3.2941","7.69137","","","https://boardgamegeek.com/boardgame/425630"
"S","10","20","253344","Cthulhu: Death May Die","9.296","6","True","False","True","False","False","Owned","1-5","2.4921","8.17822","","","https://boardgamegeek.com/boardgame/253344"
"S","10","21","380707","Vindication: Archive of the Ancients","9.259","2","True","False","False","False","False","Owned","2-5","3","8.57805","","","https://boardgamegeek.com/boardgame/380707"
"S","10","22","290484","Unsettled","9.222","2","True","False","True","False","False","Owned","2-4","3.2879","8.04595","","","https://boardgamegeek.com/boardgame/290484"
"S","10","23","277659","Final Girl","9.185","1","True","False","False","False","False","Owned","1","2.7603","8.20805","","","https://boardgamegeek.com/boardgame/277659"
"S","10","24","37111","Battlestar Galactica: The Board Game","9.148","1","True","False","False","False","False","Owned","3-6","3.2513","7.73108","","","https://boardgamegeek.com/boardgame/37111"
"S","10","25","270408","Exodus Chronicles","9.111","0","False","False","True","False","False","NotOwned","1-6",,"6.01925","","","https://boardgamegeek.com/boardgame/270408"
"S","10","26","72125","Eclipse: New Dawn for the Galaxy","9.074","2","False","False","False","False","False","NotOwned","2-6","3.7061","7.81662","","","https://boardgamegeek.com/boardgame/72125"
"S","10","27","132531","Roll for the Galaxy","9.037","7","False","False","False","False","False","NotOwned","2-5","2.7841","7.56405","","","https://boardgamegeek.com/boardgame/132531"
"S","10","28","329500","Unconscious Mind","9","1","False","False","False","True","False","NotOwned","1-4","4.0232","7.87333","","","https://boardgamegeek.com/boardgame/329500"
"A","9","1","325494","ISS Vanguard","8.999","1","True","False","True","False","False","Owned","1-4","3.6677","8.32857","","","https://boardgamegeek.com/boardgame/325494"
"A","9","2","284378","Kanban EV","8.984","2","True","False","True","False","False","Owned","1-4","4.2955","8.37196","","","https://boardgamegeek.com/boardgame/284378"
"A","9","3","310100","Nemesis: Lockdown","8.969","2","True","False","True","False","False","Owned","1-5","3.9213","8.23651","Fantastic game","","https://boardgamegeek.com/boardgame/310100"
"A","9","4","184267","On Mars","8.954","5","True","False","True","False","False","Owned","1-4","4.6241","8.15821","","","https://boardgamegeek.com/boardgame/184267"
"A","9","5","202426","Sidereal Confluence","8.939","3","True","False","True","False","False","Owned","4-9","3.5636","7.75754","","","https://boardgamegeek.com/boardgame/202426"
"A","9","6","250467","Red Alert: Space Fleet Warfare","8.924","3","True","False","True","False","False","Owned","2-6","2.3529","7.7544","","","https://boardgamegeek.com/boardgame/250467"
"A","9","7","237179","Weather Machine","8.91","6","True","False","True","False","False","Owned","2-4","4.5664","7.67414","","","https://boardgamegeek.com/boardgame/237179"
"A","9","8","299450","Tsukuyumi: Full Moon Down (Second Edition)","8.895","2","True","False","True","False","False","Owned","2-4","3.6552","7.50901","","","https://boardgamegeek.com/boardgame/299450"
"A","9","9","155065","Lifeform","8.88","3","True","False","True","False","False","Owned","2-4","3.0667","7.16987","","","https://boardgamegeek.com/boardgame/155065"
"A","9","10","172047","The Others","8.865","1","True","False","True","False","False","Owned","2-5","3.0565","7.2846","","","https://boardgamegeek.com/boardgame/172047"
"A","9","11","292126","Excavation Earth","8.85","2","True","False","True","False","False","Owned","1-4","3.8077","7.09842","","","https://boardgamegeek.com/boardgame/292126"
"A","9","12","349948","Ceres","8.835","2","True","False","False","False","False","Owned","1-4","3.2157","7.61114","","","https://boardgamegeek.com/boardgame/349948"
