Rank,Item
1,Teotihuacan: City of Gods – Deluxe Master Set
2,Sankoré: The Pride of Mansa Musa
3,Voidfall
4,Dune: War for Arrakis
5,Galactic Cruise
6,Speakeasy
7,Exodus: Proxima Centauri
8,Tekhenu: Obelisk of the Sun
9,Xia: Legends of a Drift System
10,Pampero
11,Inventions: Evolution of Ideas
12,Lobotomy 2: Manhunt
13,Andromeda's Edge
14,Eclipse: Second Dawn for the Galaxy
15,SETI: Search for Extraterrestrial Intelligence
16,Federation
17,Nemesis
18,Baghdad: The City of Peace
19,Cthulhu: Death May Die
20,Vindication: Archive of the Ancients
21,Unsettled
22,Final Girl
23,Battlestar Galactica: The Board Game
