"rank","game","bgg_id","year","recommendation","overall","predicted","designer","mechanism","theme","type","confidence","num_ratings","complexity","designers","designer_hits","designer_adjustment","ownership","matched_bgg_ids","expansion","thumbs","players","play_time","location"
"1","Star Trek: Captain's Chair – To Boldly Go","448086","2026","Worth a demo","8.5","9.64","7.63","7.09","7.18","7.26","low","271","4.19","Nigel Buckle / Dávid Turczi / Adam Turczi","Nigel Buckle / Dávid Turczi","0.28","new","","False","61","1-2","60-120 min",""
"1","Aeon Trespass: Odyssey","242705","2022","Must investigate","8.32","9.53",,"7.34","7.12","7.22","high","2781","4.75","Marcin Wełnicki","","0","new","","False","36","1-4","90 min","4-E200"
"1","Thessaloniki","463637","2026","Worth a demo","8.02","8.39","8.19","7.26","7.62","7.17","low","23","3.33","Federico Pierlorenzi / Daniele Tascini","Daniele Tascini","1.11","new","","False","346","1-4","90-120 min","3G200"
"1","Infinity: HexaDome Legends","474483","2026","Worth a demo","7.93","8.79",,"7.31","7.18","7.06","low","21","3","Alberto Abal / Jesús Fuster / David Rosillo","","0","new","","False","13","2-2","60-90 min","1-D113"
"1","Kingdoms Forlorn: Dragons, Devils and Kings","297510","2025","Worth a demo","7.91","8.76",,"7.08","7.18","7.24","medium","631","4.69","Marcin Wełnicki","","0","new","","False","49","1-5","unknown","4-E200"
"1","Near: Echoes of Civilizations","471157","2026","Watch for reviews","7.9","8.62","7.22","7.23","7.22","7.06","insufficient","5","3","Matthieu Podevin","Matthieu Podevin","0.32","new","","False","178","2-4","60-120 min","Blackrock and La Boite de Jeu booth: 6K400"
"1","Steam & Cheese","473225","2027","Watch for reviews","7.9","8.71",,"7.18","7.06","7.26","insufficient","5","4","Alexander Rein","","0","new","","False","22","1-4","90-180 min","3-C300"
"1","Schrott","463950","2027","Worth a demo","7.86","8.64",,"7.12","7.32","7.26","low","17","4.17","Timo Zett","","0","new","","False","18","2-4","60-120 min",""
"1","The Elder Scrolls: Betrayal of the Second Era","356080","2025","Worth a demo","7.84","8.6",,"7.24","6.97","7.26","high","4290","4.09","Josh J. Carlson / Michael Gernes / Logan Giannini / Ryan Howard / Salem Scott / Josh Wielgus","","0","new","","False","90","1-4","120-240 min",""
"1","Horror on the Orient Express: The Board Game","394897","2026","Worth a demo","7.81","8.26","7.67","7.04","7.09","7.27","medium","312","3.81","Michał Gołąb Gołębiowski / Adam Kwapiński","Adam Kwapiński","0.34","new","","False","72","1-4","90-120 min",""
