"base_bgg_id","base_name","expansion_id","expansion_name","is_fan"
"400205","5 Towers","430428","5 Towers: Great Powers","False"
"173346","7 Wonders Duel","309116","7 Wonders Duel: Agora","False"
"173346","7 Wonders Duel","348601","7 Wonders Duel: Agora – Tu Quoque Fili Promo Card","False"
"173346","7 Wonders Duel","202976","7 Wonders Duel: Pantheon","False"
"173346","7 Wonders Duel","310215","7 Wonders Duel: Solo","False"
"173346","7 Wonders Duel","196339","7 Wonders Duel: Statue of Liberty Promo Card","False"
"173346","7 Wonders Duel","186069","7 Wonders Duel: The Messe Promo Card","False"
"330950","Age of Galaxy","449156","Age of Galaxy: Kickstarter Promo Faction cards","False"
"247367","Air, Land, & Sea","314335","Air, Land, & Sea: Ultimatum (Promo)","False"
"48726","Alien Frontiers","258319","Alien Frontiers Factions: Definitive Edition","False"
"48726","Alien Frontiers","383881","Alien Frontiers: Data Core Expansion Pack","False"
"48726","Alien Frontiers","161118","Alien Frontiers: Expansion Pack #1","False"
"48726","Alien Frontiers","161120","Alien Frontiers: Expansion Pack #2","False"
"48726","Alien Frontiers","161121","Alien Frontiers: Expansion Pack #3","False"
"48726","Alien Frontiers","161122","Alien Frontiers: Expansion Pack #4","False"
"48726","Alien Frontiers","161123","Alien Frontiers: Expansion Pack #5","False"
"48726","Alien Frontiers","161124","Alien Frontiers: Expansion Pack #6","False"
"48726","Alien Frontiers","171857","Alien Frontiers: Expansion Pack #7","False"
"48726","Alien Frontiers","107407","Alien Frontiers: Faction Pack #1","False"
"48726","Alien Frontiers","142647","Alien Frontiers: Faction Pack #2","False"
"48726","Alien Frontiers","142648","Alien Frontiers: Faction Pack #3","False"
"48726","Alien Frontiers","142649","Alien Frontiers: Faction Pack #4","False"
"48726","Alien Frontiers","93193","Alien Frontiers: Factions","False"
"48726","Alien Frontiers","174929","Alien Frontiers: Galactic Pack","False"
"48726","Alien Frontiers","85964","Alien Frontiers: Matter Extractor","False"
"48726","Alien Frontiers","258320","Alien Frontiers: Mercury's Angels Faction","False"
"48726","Alien Frontiers","70647","Alien Frontiers: Outer Belt","False"
"48726","Alien Frontiers","218518","Alien Frontiers: Promo Pack 2017","False"
"48726","Alien Frontiers","88282","Alien Frontiers: The Mind Control Helmet","False"
"256852","Aliens: Another Glorious Day in the Corps","313533","Aliens: Another Glorious Day in the Corps – Get Away From Her, You B***h!","False"
"256852","Aliens: Another Glorious Day in the Corps","313532","Aliens: Another Glorious Day in the Corps – Ultimate Badasses","False"
"256852","Aliens: Another Glorious Day in the Corps","383476","Aliens: Another Glorious Day in the Corps – We're in the Pipe, Five by Five","False"
"110277","Among the Stars","128152","Among the Stars: Ambassadorial Shuttle","False"
"110277","Among the Stars","211559","Among the Stars: Consulting Firm","False"
"110277","Among the Stars","153137","Among the Stars: Expanding the Alliance","False"
"110277","Among the Stars","138546","Among the Stars: Hythian","False"
"110277","Among the Stars","125841","Among the Stars: Indiegogo Promos","False"
"110277","Among the Stars","167899","Among the Stars: Intelligence Agency","False"
"110277","Among the Stars","265284","Among the Stars: Lost and Found Promo Card","False"
"110277","Among the Stars","142599","Among the Stars: Pre-order Promo Cards","False"
"110277","Among the Stars","149903","Among the Stars: Section Seal","False"
"110277","Among the Stars","207267","Among the Stars: Space Farms","False"
"110277","Among the Stars","166192","Among the Stars: Stretch Rewards","False"
"110277","Among the Stars","139630","Among the Stars: The Ambassadors","False"
"110277","Among the Stars","149377","Among the Stars: Wiss","False"
"110277","Among the Stars","283936","Artipia Games: The Promo Pack","False"
"110277","Among the Stars","157934","Pośród Gwiazd: Zestaw 7 dodatkowych kart","False"
"358661","Andromeda's Edge","379786","Andromeda's Edge: Escalation","False"
"358661","Andromeda's Edge","428249","Andromeda's Edge: Exotic Matter Promo Kit","False"
"358661","Andromeda's Edge","452835","Andromeda's Edge: Genesis","False"
"358661","Andromeda's Edge","437011","Andromeda's Edge: The Dice Tower Promo Cards","False"
"236457","Architects of the West Kingdom","356120","Architecten van het Westelijk Koninkrijk: Promodeck","False"
"236457","Architects of the West Kingdom","285235","Architects of the West Kingdom: Age of Artisans","False"
"236457","Architects of the West Kingdom","343489","Architects of the West Kingdom: Crossover Promo Pack","False"
"236457","Architects of the West Kingdom","298909","Architects of the West Kingdom: Dice Tower 2020 Pack","False"
"236457","Architects of the West Kingdom","248492","Architects of the West Kingdom: Extra Apprentices","False"
"236457","Architects of the West Kingdom","248491","Architects of the West Kingdom: Extra Buildings","False"
"236457","Architects of the West Kingdom","248493","Architects of the West Kingdom: Extra Player Boards","False"
"236457","Architects of the West Kingdom","274418","Architects of the West Kingdom: Garphill Games 5-Year Anniversary Promo Cards","False"
"236457","Architects of the West Kingdom","312753","Architects of the West Kingdom: Jugador","False"
"236457","Architects of the West Kingdom","304625","Architects of the West Kingdom: King Dan","False"
"236457","Architects of the West Kingdom","289464","Architects of the West Kingdom: King's Table Top","False"
"236457","Architects of the West Kingdom","274783","Architects of the West Kingdom: Paladins Apprentices","False"
"236457","Architects of the West Kingdom","371958","Architects of the West Kingdom: Principi Promo Card","False"
