"host_index","host","slot","game_raw","query","bgg_id","matched_name","source","year","num_ratings","suspect"
"1","David Mck","1","The Networks","The Networks","72321","","cache","2016","7011",""
"1","David Mck","2","Altiplano","Altiplano","234487","","cache","2017","9799",""
"1","David Mck","3","Yamatai","Yamatai","213893","","cache","2017","7078",""
"2","Lauren","1","Emberleaf","Emberleaf","426513","","cache","2025","2292",""
"2","Lauren","2","Agricola","Agricola","31260","","cache","2007","77249",""
"2","Lauren","3","Feed the kraken & werewords","Feed the kraken","271601","","cache","2022","6798",""
"3","Jordan","1","Caylus 1303","Caylus 1303","284818","","cache","2019","3833",""
"3","Jordan","2","Marco Polo II","Marco Polo II","283948","","cache","2019","8466",""
"3","Jordan","3","Dwellings of Eldervale","Dwellings of Eldervale","271055","","cache","2020","9719",""
"4","Heini","1","Deep Regrets + Even Deeper Regrets","Deep Regrets","397931","","cache","2025","4483",""
"4","Heini","2","Tidal Blades: Heroes of the Reef","Tidal Blades: Heroes of the Reef","233262","","cache","2020","3403",""
"4","Heini","3","The Reckoners","The Reckoners","208024","","cache","2018","2300",""
"5","Charis","1","Oranges and Lemons","Oranges and Lemons","395875","","cache","2024","358",""
"5","Charis","2","Mission Red Planet","Mission Red Planet","176920","","cache","2015","12506",""
"5","Charis","3","Cryptid","Cryptid","246784","","cache","2018","17515",""
"6","Ben M","1","Realm of reckoning","Realm of reckoning","446893","","cache","2026","419",""
"6","Ben M","2","Kepler 3042","Kepler 3042","198190","","override","2016","1457",""
"6","Ben M","3","Rising Sun","Rising Sun","205896","","cache","2018","23532",""
"7","Lottie","1","Feya's Swamp","Feya's Swamp","438442","","cache","2025","1802",""
"7","Lottie","2","Tea Garden","Tea Garden","422042","","cache","2024","1919",""
"7","Lottie","3","Moonrakers","Moonrakers","270239","","cache","2020","4246",""
"8","Craig W","1","World Order","World Order","403150","","override","2026","1818",""
"8","Craig W","2","Rauha","Rauha","371922","","cache","2023","1254",""
"8","Craig W","3","Pan Am","Pan Am","303057","","cache","2020","8571",""
"9","Daniel F","1","One Small Step","One Small Step","282227","","override","2020","280",""
"9","Daniel F","2","Tianxia","Tianxia","447746","","override","2025","691",""
"9","Daniel F","3","Teotihuacan: City of the Gods + Late Preclassic Period","Teotihuacan: City of the Gods","229853","","cache","2018","22302",""
"10","Craig N","1","878 Vikings","878 Vikings","204516","","cache","2017","3874",""
"10","Craig N","2","Quest for El Dorado","Quest for El Dorado","217372","","override","2017","33631",""
"10","Craig N","3","Cosmic Encounter","Cosmic Encounter","39463","","override","2008","35184",""
"11","Rafa M","1","Anno 1800: The Boardgame","Anno 1800: The Boardgame","311193","","override","2020","9164",""
"11","Rafa M","2","Amalfi: Reinassance","Amalfi: Reinassance","298130","","override","2020","196",""
"11","Rafa M","3","Merlin","Merlin","230933","","cache","2017","3976",""
"12","Janice","1","Akropolis","Akropolis","357563","","cache","2022","10792",""
"12","Janice","2","Fromage/ Fromaggio","Fromage","384213","","cache","2024","7340",""
"12","Janice","3","Windmill Valley with Blooming Sails expansion","Windmill Valley","403441","","cache","2024","3884",""
"13","Evan","1","Summit","Summit","201186","","override","2017","1291",""
"13","Evan","2","Barrage","Barrage","251247","","cache","2019","22220",""
"13","Evan","3","Nucleum","Nucleum","396790","","override","2023","8915",""
