"group_key","bgg_id","name","year_published","rating","num_plays","players","complexity","bgg_rating","num_ratings","categories","mechanics"
"1","183571","Deep Space D-6","2015","8","3","1","1.6639","7.13791","3829","System.Object[]","System.Object[]"
"1","296237","Warp's Edge","2020","9","3","1","2.3896","7.64138","4464","Science Fiction","System.Object[]"
"1","337070","Arkham Noir: Case #3 – Infinite Gulfs of Darkness","2021","6","1","1","3.0909","7.10918","309","System.Object[]","System.Object[]"
"1","277659","Final Girl","2021","10","1","1","2.7553","8.22491","11174","System.Object[]","System.Object[]"
"1","306735","Under Falling Skies","2020","8","1","1","2.3937","7.59838","13936","System.Object[]","System.Object[]"
"1-100","233867","Welcome To...","2018","7.9","4","1-100","1.8422","7.50684","34745","City Building","System.Object[]"
"1-2","289566","Hunted: Kobayashi Tower","2021","8","4","1-2","2","6.83904","292","System.Object[]","System.Object[]"
"1-2","289565","Hunted: Mining Colony 415","2021","9","4","1-2","1.8182","6.87094","265","System.Object[]","System.Object[]"
"1-2","247236","Duelosaur Island","2018","8.1","3","1-2","2.3803","7.0126","3572","System.Object[]","System.Object[]"
"1-2","205637","Arkham Horror: The Card Game","2016","8.9","1","1-2","3.5658","8.11941","47680","System.Object[]","System.Object[]"
"1-2","347521","Blitzkrieg!: World War Two in 20 Minutes (Second Edition)","2021","7","1","1-2","1.7391","7.50772","746","System.Object[]","System.Object[]"
"1-2","329148","Hunted: Wode Ridge","2023","9","1","1-2","1.8","7.0209","67","System.Object[]","System.Object[]"
"1-2","267401","Lawyer Up","2021","7","1","1-2","2.6486","6.8203","1748","Card Game","System.Object[]"
"1-2","179275","One Deck Dungeon","2016","6.3","1","1-2","2.0928","6.93457","12882","System.Object[]","System.Object[]"
"1-2","256713","One Deck Galaxy","2022","7","1","1-2","3.3158","6.83863","605","System.Object[]","System.Object[]"
"1-4","229853","Teotihuacan: City of Gods","2018","10","36","1-4","3.7821","7.8356","22057","System.Object[]","System.Object[]"
"1-4","216132","Clans of Caledonia","2017","8.9","20","1-4","3.469","7.94533","22788","System.Object[]","System.Object[]"
"1-4","337627","Voidfall","2023","0","13","1-4","4.6141","8.50994","6914","System.Object[]","System.Object[]"
"1-4","337627","Voidfall","2023","10","13","1-4","4.6141","8.50994","6914","System.Object[]","System.Object[]"
"1-4","220308","Gaia Project","2017","8.8","11","1-4","4.4037","8.35174","31226","System.Object[]","System.Object[]"
"1-4","382518","Sankoré: The Pride of Mansa Musa","2024","9","7","1-4","4.2485","7.96681","1573","System.Object[]","System.Object[]"
"1-4","223779","Pocket Mars","2017","6.9","6","1-4","2.3151","6.41536","2027","System.Object[]","System.Object[]"
"1-4","418059","SETI: Search for Extraterrestrial Intelligence","2024","10","6","1-4","3.8299","8.41637","19335","System.Object[]","System.Object[]"
"1-4","221194","Dinosaur Island","2017","8","5","1-4","3.045","7.52733","17194","System.Object[]","System.Object[]"
"1-4","391137","Galactic Cruise","2025","9","5","1-4","3.9685","8.31962","6936","System.Object[]","System.Object[]"
"1-4","347305","Inventions: Evolution of Ideas","2024","0","5","1-4","4.5902","7.92105","2912","System.Object[]","System.Object[]"
"1-4","297030","Tekhenu: Obelisk of the Sun","2020","10","5","1-4","4.0664","7.66108","6651","System.Object[]","System.Object[]"
"1-4","299178","Small Railroad Empires","2021","8","4","1-4","2.3","6.59634","278","System.Object[]","System.Object[]"
"1-4","230253","Star Realms: Frontiers","2018","9","4","1-4","1.8844","7.90803","6225","System.Object[]","System.Object[]"
"1-4","269210","Twice as Clever!","2019","8","4","1-4","2.2718","7.41377","10204","System.Object[]","System.Object[]"
"1-4","264052","Circadians: First Light","2019","8","3","1-4","3.3723","7.51755","3609","System.Object[]","System.Object[]"
"1-4","138161","Firefly: The Game","2013","8.2","3","1-4","2.956","7.38165","12605","System.Object[]","System.Object[]"
"1-4","317859","Forests of Pangaia","2023","8","3","1-4","2.3696","7.25811","972","System.Object[]","System.Object[]"
"1-4","200077","Mint Works","2017","8","3","1-4","1.7308","6.88551","7049","System.Object[]","System.Object[]"
"1-4","184267","On Mars","2020","9","3","1-4","4.6264","8.1588","14909","System.Object[]","System.Object[]"
"1-4","307002","Regicide","2020","8","3","1-4","1.9679","7.38676","8825","System.Object[]","System.Object[]"
"1-4","306481","Tawantinsuyu: The Inca Empire","2020","9","3","1-4","4.089","7.36994","3091","System.Object[]","System.Object[]"
"1-4","328871","Terraforming Mars: Ares Expedition","2021","10","3","1-4","2.9241","7.63664","21059","System.Object[]","System.Object[]"
"1-4","231581","AuZtralia","2018","8","2","1-4","2.8873","7.33056","5280","System.Object[]","System.Object[]"
"1-4","356768","Bloc by Bloc: Uprising","2022","8","2","1-4","2.5789","7.23896","634","System.Object[]","System.Object[]"
"1-4","349948","Ceres","2023","9","2","1-4","3.2653","7.60807","921","System.Object[]","System.Object[]"
"1-4","331401","Dog Park","2022","9","2","1-4","2.1618","6.87647","3983","System.Object[]","System.Object[]"
"1-4","316554","Dune: Imperium","2020","8","2","1-4","3.0769","8.41224","58226","System.Object[]","System.Object[]"
"1-4","367150","Dune: War for Arrakis","2024","10","2","1-4","3.65","8.4874","4017","System.Object[]","System.Object[]"
"1-4","292126","Excavation Earth","2021","8.5","2","1-4","3.8077","7.11027","1644","System.Object[]","System.Object[]"
"1-4","284378","Kanban EV","2020","9","2","1-4","4.2899","8.38143","10238","System.Object[]","System.Object[]"
"1-4","340865","Lords of Ragnarok","2023","8","2","1-4","3.7857","7.27647","1317","System.Object[]","System.Object[]"
"1-4","266810","Paladins of the West Kingdom","2019","9","2","1-4","3.7097","7.95566","20514","Medieval","System.Object[]"
"1-4","306881","Railroad Ink Challenge: Lush Green Edition","2021","8","2","1-4","2.1143","7.56306","3843","System.Object[]","System.Object[]"
"1-4","274037","Solar Storm","2020","7","2","1-4","2.0667","6.93859","1324","System.Object[]","System.Object[]"
