"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"2-5","1","7","1","1.000-1.999","40692","Small World","1.96","1.999","2","2-5","2.3454","7.18939","","","System.Object[]","System.Object[]"
"2-4","2","7","1","1.000-1.999","269207","The Taverns of Tiefenthal","1.8","1.832","2","2-4","2.6876","7.57215","Loads of down time for me. I think the theme did not click.","","System.Object[]","System.Object[]"
"2-10","3","7","1","1.000-1.999","277061","Dino Duel","1.64","1.666","1","2-10","1","6.29333","","","System.Object[]","System.Object[]"
"1-4","4","7","1","1.000-1.999","162886","Spirit Island","1.48","1.5","1","1-4","4.0752","8.33945","","","System.Object[]","System.Object[]"
"2-4","5","7","1","1.000-1.999","430616","Chichén Itzá","1.32","1.333","0","2-4","3.1818","7.11532","When appropriating a culture, it's good form to respect it. This game misses the mark by mixing in elements that have no place in Maya mythology, like triceratops, 4-leaf clovers, and rubies. The Maya have a rich and deeply symbolic mythology that spans thousands of years, filled with fascinating creatures and deities like the K'iche' Hero Twins, Wayob, and Camazotz. Instead, the game opts for random, misplaced symbols that feel careless and uninformed. If you're going to draw inspiration from a culture, taking the time to understand and honor it should be the minimum standard.","","System.Object[]","System.Object[]"
"1-4","6","7","1","1.000-1.999","329713","Dune: House Secrets","1.16","1.166","0","1-4","1.36","5.01571","","","System.Object[]","System.Object[]"
"2-5","7","7","1","1.000-1.999","390092","Ticket to Ride Legacy: Legends of the West","1","1","0","2-5","2.5533","8.60645","","","System.Object[]","System.Object[]"
"3-6","1","6","2","1.000-1.999","1927","Munchkin Deluxe","2.92","1.999","0","3-6","1.8184","5.87448","","","System.Object[]","System.Object[]"
"2-4","2","6","2","1.000-1.999","244992","The Mind","2.76","1.799","0","2-4","1.0743","6.70678","","","System.Object[]","System.Object[]"
"2","3","6","2","1.000-1.999","2425","Battleship","2.6","1.599","2","2","1.1989","4.76515","","","System.Object[]","System.Object[]"
"2-4","4","6","2","1.000-1.999","244521","Quacks","2.44","1.4","2","2-4","1.9431","7.80086","","","System.Object[]","System.Object[]"
"1-4","5","6","2","1.000-1.999","280748","Escape the Dark Sector","2.28","1.2","1","1-4","2.0909","7.45837","","","System.Object[]","System.Object[]"
"2-8","6","6","2","1.000-1.999","150145","Skull King","2.12","1","1","2-8","1.7303","7.52977","","","System.Object[]","System.Object[]"
"1-4","1","6","3","2.000-2.999","169426","Roll Player","3.879","2.999","2","1-4","2.4218","7.41505","","","System.Object[]","System.Object[]"
"2-4","2","6","3","2.000-2.999","292032","Funkoverse Strategy Game: Harry Potter 100","3.719","2.799","1","2-4","2.2778","6.54129","","","System.Object[]","System.Object[]"
"2-4","3","6","3","2.000-2.999","194607","Mystic Vale","3.559","2.599","1","2-4","2.26","7.23336","","","System.Object[]","System.Object[]"
"1-4","4","6","3","2.000-2.999","244711","Newton","3.399","2.4","1","1-4","3.3701","7.49169","","","System.Object[]","System.Object[]"
"1-5","5","6","3","2.000-2.999","269385","The Lord of the Rings: Journeys in Middle-Earth","3.239","2.2","1","1-5","2.6983","7.88805","","","System.Object[]","System.Object[]"
"2-5","6","6","3","2.000-2.999","381083","WitchDraft","3.079","2","1","2-5","1.8","6.66424","","","System.Object[]","System.Object[]"
"2-6","1","7","4","3.000-3.999","4279","Flux","4.999","3.999","3","2-6","1.3846","5.45619","","","System.Object[]","Hexagon Grid"
"1-8","2","7","4","3.000-3.999","247567","D-Day Dice Pocket","4.839","3.832","1","1-8","1.125","6.36631","","","System.Object[]","System.Object[]"
"1-5","3","7","4","3.000-3.999","163170","Firefly: Shiny Dice","4.679","3.666","1","1-5","1.875","5.45918","","","System.Object[]","System.Object[]"
"2-5","4","7","4","3.000-3.999","136063","Forbidden Desert","4.519","3.5","1","2-5","2.04","7.05612","","","System.Object[]","System.Object[]"
"2","5","7","4","3.000-3.999","171226","Starfighter","4.359","3.333","1","2","2.7742","6.65178","","","System.Object[]","System.Object[]"
"3-8","6","7","4","3.000-3.999","194626","Happy Salmon","4.199","3.166","1","3-8","1.0571","6.63937","","","System.Object[]","Real-Time"
"1-4","7","7","4","3.000-3.999","342942","Ark Nova","4.039","3","3","1-4","3.7992","8.53822","","","System.Object[]","System.Object[]"
"2-4","1","71","5","4.000-4.999","278553","Silver","5.999","4.999","1","2-4","1.7826","7.04015","","","Card Game","System.Object[]"
"3-4","2","71","5","4.000-4.999","13","Catan","5.985","4.985","0","3-4","2.2803","7.08993","","","System.Object[]","System.Object[]"
"2","3","71","5","4.000-4.999","118048","Targi","5.97","4.97","10","2","2.3423","7.58443","","","System.Object[]","System.Object[]"
"3-7","4","71","5","4.000-4.999","12942","No Thanks!","5.956","4.956","7","3-7","1.1291","7.08041","","","Card Game","System.Object[]"
"1-4","5","71","5","4.000-4.999","200077","Mint Works","5.942","4.942","3","1-4","1.7308","6.88269","","","System.Object[]","System.Object[]"
"2-6","6","71","5","4.000-4.999","11971","Cockroach Poker","5.928","4.928","6","2-6","1.0959","6.79707","","","System.Object[]","System.Object[]"
"2","7","71","5","4.000-4.999","147020","Star Realms","5.913","4.913","1","2","1.9111","7.54948","","","System.Object[]","System.Object[]"
"3-8","8","71","5","4.000-4.999","143741","BANG! The Dice Game","5.899","4.899","5","3-8","1.277","6.87335","","","System.Object[]","System.Object[]"
"2-4","9","71","5","4.000-4.999","65244","Forbidden Island","5.885","4.885","1","2-4","1.7401","6.74805","","","System.Object[]","System.Object[]"
"2-8","10","71","5","4.000-4.999","178900","Codenames","5.871","4.871","5","2-8","1.2523","7.52301","","","System.Object[]","System.Object[]"
"2","11","71","5","4.000-4.999","182631","Star Realms: Colony Wars","5.856","4.856","1","2","1.8742","7.77461","","","System.Object[]","System.Object[]"
"2-4","12","71","5","4.000-4.999","811","Rummikub","5.842","4.842","5","2-4","1.7079","6.5306","","","System.Object[]","System.Object[]"
