"group_key","bgg_id","name","current_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"1-4","298635","Alice's Garden","0","1","1-4","1.4333","7.1082","","","Novel-based Territory Building","Grid Coverage I Cut, You Choose Open Drafting Tile Placement"
"1-4","407318","Cascadia: Rolling Rivers","0","1","1-4","1.9286","7.16683","","","American West Animals Dice Environmental Puzzle Territory Building","Contracts Dice Rolling End Game Bonuses Hexagon Grid Line Drawing Market Multiple Maps Paper-and-Pencil Set Collection Solo / Solitaire Game Variable Set-up"
"1-4","231038","Dreamscape","0","1","1-4","3.1282","7.24271","","","Abstract Strategy Fantasy Puzzle","Action Points Pattern Building Point to Point Movement Set Collection Turn Order: Stat-Based"
"1-4","328479","Living Forest","0","1","1-4","2.2151","7.21642","","","Animals Card Game Environmental Fantasy Mythology Territory Building","Deck, Bag, and Pool Building Push Your Luck Race Simultaneous Action Selection Tile Placement"
"1-4","434367","Nippon: Zaibatsu","0","1","1-4","3.601","8.50447","","","Economic Industry / Manufacturing","Area Majority / Influence Contracts End Game Bonuses Income Open Drafting Solo / Solitaire Game Variable Set-up Worker Placement Worker Placement, Different Worker Types"
"1-4","419793","Pyramido: Forgotten Treasures","0","1","1-4","1.5","6.50038","","","Abstract Strategy Adventure Puzzle","Connections Layering Open Drafting Tile Placement"
"1-4","428099","Revenant","0","2","1-4","4.1558","7.91275","","","Science Fiction","Area Majority / Influence Hidden Victory Points Variable Player Powers Worker Placement"
"1-4","429895","Vestige","0","1","1-4","3","7.74003","","","Exploration Science Fiction","Area Majority / Influence End Game Bonuses Modular Board Variable Player Powers"
"1-5","140620","Lewis & Clark: The Expedition","0","1","1-5","3.3179","7.42869","","","Age of Reason American West Exploration Travel","Action Retrieval Deck, Bag, and Pool Building Delayed Purchase Hand Management Multi-Use Cards Open Drafting Race Resource to Move Solo / Solitaire Game Track Movement Worker Placement"
"1-5","381248","Nemesis: Retaliation","0","1","1-5","3.7794","8.66293","April 2025","","Exploration Fighting Horror Miniatures Science Fiction","Cooperative Game Dice Rolling Hidden Roles Modular Board Player Elimination Semi-Cooperative Game Solo / Solitaire Game Traitor Game Variable Player Powers"
"1-5","234277","Nusfjord","0","1","1-5","2.875","7.63361","","","Economic Nautical","Open Drafting Turn Order: Claim Action Worker Placement"
"1-6","248861","Metro X","0","1","1-6","1.7407","7.09202","","","Number Puzzle Trains","Bingo Network and Route Building Paper-and-Pencil Simultaneous Action Selection Solo / Solitaire Game"
"1-6","256589","Rallyman: GT","0","3","1-6","2.1972","7.09835","","","Racing Sports","Dice Rolling Different Dice Movement Grid Movement Hexagon Grid Modular Board Push Your Luck Race Roll / Spin and Move Simulation Solo / Solitaire Game"
"1-6","206327","The King's Guild","0","2","1-6","2.3556","7.01646","","","Fantasy Medieval","Hand Management Set Collection Variable Player Powers"
"2","379706","Quartermaster General: East Front","0","1","2","2.5625","7.24351","","","Wargame World War II","Area Movement Events Hand Management Interrupts Multi-Use Cards"
"2-12","2375","Sequence","0","1","2-12","1.3062","6.19323","","","Abstract Strategy Card Game","Hand Management Pattern Building Take That Team-Based Game"
"2-4","155987","Abyss","0","1","2-4","2.3201","7.31895","","","Card Game Fantasy Mythology Nautical","Auction / Bidding Hand Management Memory Open Drafting Push Your Luck Set Collection"
"2-4","54137","Battle Sheep","0","2","2-4","1.4639","6.59987","","","Abstract Strategy Animals","Enclosure Grid Movement Hexagon Grid Modular Board"
"2-4","296167","Boomerang: Australia","0","1","2-4","1.5263","6.83367","","","Card Game Travel","Closed Drafting End Game Bonuses Paper-and-Pencil Set Collection Simultaneous Action Selection Tags"
"2-4","269789","Caravan","0","1","2-4","1.7692","6.5601","","","Abstract Strategy Arabian","Action Points Grid Movement Pick-up and Deliver Take That"
"2-4","334320","Langskip","0","2","2-4",,"7.3","","","Bluffing","Race"
