"group_key","bgg_id","name","current_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"1","336131","Halls of Hegra","0","0","1","3.4074","8.07891","","","Economic Wargame World War II","Action / Event Deck, Bag, and Pool Building Dice Rolling Pick-up and Deliver Point to Point Movement Push Your Luck Solo / Solitaire Game Variable Set-up Worker Placement Worker Placement, Different Worker Types"
"1","148427","K-Day: Kaiju War!","0","0","1","1","6.39048","","","Dice Print & Play Science Fiction","Action Points Dice Rolling"
"1","354934","Legacy of Yu","0","0","1","2.8736","8.06804","","","Ancient City Building","Chaining Hand Management Multi-Use Cards Scenario / Mission / Campaign Game Solo / Solitaire Game Sudden Death Ending Worker Placement"
"1","422375","Okinawa: The Last Battle of World War II","0","0","1","2.2222","7.61711","⏩","","Card Game Dice Wargame World War II","Dice Rolling Rondel Solo / Solitaire Game"
"1","191387","Star Trek: The Dice Game","0","0","1","1.6","7.53789","","","Dice Movies / TV / Radio theme Print & Play Science Fiction","Contracts Dice Rolling Events Scenario / Mission / Campaign Game Solo / Solitaire Game Worker Placement Worker Placement with Dice Workers Worker Placement, Different Worker Types"
"1-2","338957","Caesar!: Seize Rome in 20 Minutes!","0","0","1-2","1.9444","7.48731","","","Ancient Civil War Wargame","Area Majority / Influence Chit-Pull System Simulation Solo / Solitaire Game"
"1-2","410292","Hunted: Kobayashi Tower (2nd Edition)","0","0","1-2","2","7.09922","","","Card Game Dice","Dice Rolling Push Your Luck Solo / Solitaire Game"
"1-2","420240","Hunted: Mining Colony 415 (2nd Edition)","0","0","1-2","1.3333","6.85474","⏩","","Action / Dexterity Card Game Science Fiction","Flicking Push Your Luck"
"1-2","361333","Lawyer Up: Season 2","0","0","1-2",,"7.38107","","","Card Game","Area Majority / Influence Open Drafting Pattern Building Set Collection Solo / Solitaire Game"
"1-2","438930","Paranormal","0","0","1","2.6","7.24165","","","Dice Horror Movies / TV / Radio theme","Action Points Dice Rolling"
"1-2","362205","Sleeping Gods: Primeval Peril","0","0","1-2","2.6875","7.45926","","","Adventure Exploration","Cooperative Game Hand Management Scenario / Mission / Campaign Game Solo / Solitaire Game Storytelling"
"1-2","422541","Star Trek: Captain's Chair","0","0","1-2","4.0615","8.67404","","","Card Game Movies / TV / Radio theme Science Fiction Space Exploration","Area Majority / Influence Deck, Bag, and Pool Building Hand Management Market Move Through Deck Solo / Solitaire Game Variable Player Powers"
"1-4","330950","Age of Galaxy","0","0","1-4","3.1057","7.53507","","","Civilization Economic Science Fiction Space Exploration","Action Drafting Action Points Income Solo / Solitaire Game Tech Trees / Tech Tracks Turn Order: Stat-Based Variable Player Powers Worker Placement"
"1-4","298635","Alice's Garden","0","1","1-4","1.431","7.11578","","","Novel-based Territory Building","Grid Coverage I Cut, You Choose Open Drafting Tile Placement"
"1-4","287680","Ark: Awakening","0","0","1-4","3.8182","6.87429","2021\03","","Exploration Science Fiction","Area Majority / Influence Solo / Solitaire Game Variable Player Powers Worker Placement"
"1-4","362598","Atlas Lost: Rise of the New Sovereigns","0","0","1-4","3.25","7.01352","","","Civilization Science Fiction","Area Majority / Influence Tech Trees / Tech Tracks"
"1-4","429438","Ayar: Children of the Sun","0","0","1-4","3.2623","7.86327","","","Ancient Civilization Educational","Area Majority / Influence Highest-Lowest Scoring Point to Point Movement Set Collection Solo / Solitaire Game Tile Placement Track Movement Worker Placement"
"1-4","407318","Cascadia: Rolling Rivers","0","1","1-4","2","7.17255","","","American West Animals Dice Environmental Puzzle Territory Building","Contracts Dice Rolling End Game Bonuses Hexagon Grid Line Drawing Market Multiple Maps Paper-and-Pencil Set Collection Solo / Solitaire Game Variable Set-up"
"1-4","214887","CO₂: Second Chance","0","0","1-4","4.0905","7.46354","","","Economic Environmental Industry / Manufacturing","Area Majority / Influence Cooperative Game Market Open Drafting Semi-Cooperative Game Solo / Solitaire Game Tile Placement Worker Placement"
"1-4","272655","Darwinauts","0","0","1-4","2.25","5.93747","2020\03","","Science Fiction","Set Collection Tile Placement Worker Placement"
