"rank","bgg_id","name","year_published","rating","num_plays"
"1","229853","Teotihuacan: City of Gods","2018","9.999","38"
"2","381715","Teotihuacan: City of Gods – Deluxe Master Set","2024","9.999","2"
"3","382518","Sankoré: The Pride of Mansa Musa","2024","9.962","7"
"4","337627","Voidfall","2023","9.925","13"
"5","367150","Dune: War for Arrakis","2024","9.888","2"
"6","391137","Galactic Cruise","2025","9.851","5"
"7","375459","Speakeasy","2025","9.814","1"
"8","122842","Exodus: Proxima Centauri","2012","9.777","6"
"9","297030","Tekhenu: Obelisk of the Sun","2020","9.74","5"
"10","82222","Xia: Legends of a Drift System","2014","9.703","5"
