"group_key","bgg_id","name","current_rating","num_plays","players","complexity","bgg_rating","categories","mechanics"
"1-4","230244","Black Angel","0","1","1-4","3.87","7.18317","Science Fiction Space Exploration","Bias Dice Rolling Hand Management Map Addition Map Reduction Solo / Solitaire Game Tile Placement Variable Set-up Worker Placement with Dice Workers"
"1-5","230251","Mint Delivery","0","1","1-5","1.6316","6.1537","Economic Industry / Manufacturing","Action Points Contracts Increase Value of Unchosen Resources Pick-up and Deliver Point to Point Movement"
"4-8","253786","Don't Mess with Cthulhu Deluxe","0","1","4-8","1.2353","7.33806","Bluffing Card Game Deduction Horror Negotiation Party Game","Team-Based Game Traitor Game"
"1-5","284653","Mind MGMT: The Psychic Espionage “Game.”","0","2","1-5","2.9097","7.78229","Comic Book / Strip Deduction Spies / Secret Agents","Cooperative Game Deduction Grid Movement Hidden Movement Paper-and-Pencil Point to Point Movement Team-Based Game Variable Player Powers"
"2-4","298231","Skyrise","0","3","2-4","2.2447","7.67036","Territory Building","Area Majority / Influence Auction / Bidding Constrained Bidding End Game Bonuses Modular Board Set Collection Variable Set-up"
"1-4","304510","Pampero","0","1","1-4","3.94","7.46082","Card Game Economic Environmental","Action Retrieval End Game Bonuses Hand Management Income Loans Neighbor Scope Point to Point Movement Set Collection Turn Order: Stat-Based"
"2-5","324856","The Crew: Mission Deep Sea","0","3","2-5","2.0502","8.05009","Adventure Card Game Mythology Nautical","Communication Limits Cooperative Game Deduction Hand Management Scenario / Mission / Campaign Game Trick-taking"
"1-4","347305","Inventions: Evolution of Ideas","0","5","1-4","4.5902","7.92105","Civilization Industry / Manufacturing","Point to Point Movement Worker Placement"
"2-4","358661","Andromeda's Edge","0","3","2-4","3.745","8.25263","Fighting Science Fiction Space Exploration Territory Building","Area Majority / Influence Dice Rolling End Game Bonuses Events Hand Management Hexagon Grid Tech Trees / Tech Tracks Variable Player Powers Variable Set-up Worker Placement Worker Placement, Different Worker Types"
"1-4","368173","Let's Go! To Japan","0","1","1-4","2.25","7.5811","Card Game Transportation Travel","Closed Drafting Contracts End Game Bonuses Hand Management Melding and Splaying Multi-Use Cards Set Collection Simultaneous Action Selection Solo / Solitaire Game Storytelling Tags"
"1-5","373600","Cthulhu: Death May Die – Fear of the Unknown","0","1","1-5","2.6977","8.71982","Fantasy Fighting Horror Miniatures Novel-based","Action Points Cooperative Game Dice Rolling Scenario / Mission / Campaign Game Solo / Solitaire Game Variable Player Powers"
"1-4","375459","Speakeasy","0","1","1-4","4.4119","8.45963","Economic Industry / Manufacturing Mafia Territory Building","Area Majority / Influence Hand Management Pick-up and Deliver Worker Placement"
"1-4","381715","Teotihuacan: City of Gods – Deluxe Master Set","0","2","1-4","3.9062","8.40683","Ancient","Area Movement Rondel Set Collection Solo / Solitaire Game Tile Placement Track Movement Variable Player Powers Variable Set-up Worker Placement with Dice Workers"
"1-4","408253","Tiny Epic Cthulhu: Deluxe Edition","0","1","1-4","3","7.31833","Horror Mythology Science Fiction","Action Points Cooperative Game Deck, Bag, and Pool Building Matching Multi-Use Cards Push Your Luck Roll / Spin and Move Set Collection Solo / Solitaire Game"
"2-4","417197","Rebirth","0","3","2-4","1.9781","7.75732","Environmental Fantasy Farming Science Fiction","Area Majority / Influence Contracts End Game Bonuses Hexagon Grid Tile Placement"
"1-4","425630","Baghdad: The City of Peace","0","1","1-4","3.3571","7.63686","Arabian City Building Medieval","Hand Management Rondel Solo / Solitaire Game Worker Placement"
