"group_key","bgg_id","name","current_rating","num_plays","players","complexity","bgg_rating","categories","mechanics"
"1-4","347305","Inventions: Evolution of Ideas","0","5","1-4","4.5902","7.92105","System.Object[]","System.Object[]"
"2-4","358661","Andromeda's Edge","0","3","2-4","3.745","8.25263","System.Object[]","System.Object[]"
"2-4","417197","Rebirth","0","3","2-4","1.9781","7.75732","System.Object[]","System.Object[]"
"2-4","298231","Skyrise","0","3","2-4","2.2447","7.67036","Territory Building","System.Object[]"
"2-5","324856","The Crew: Mission Deep Sea","0","3","2-5","2.0502","8.05009","System.Object[]","System.Object[]"
"1-5","284653","Mind MGMT: The Psychic Espionage “Game.”","0","2","1-5","2.9097","7.78229","System.Object[]","System.Object[]"
"1-4","381715","Teotihuacan: City of Gods – Deluxe Master Set","0","2","1-4","3.9062","8.40683","Ancient","System.Object[]"
"1-4","425630","Baghdad: The City of Peace","0","1","1-4","3.3571","7.63686","System.Object[]","System.Object[]"
"1-4","230244","Black Angel","0","1","1-4","3.87","7.18317","System.Object[]","System.Object[]"
"1-5","373600","Cthulhu: Death May Die – Fear of the Unknown","0","1","1-5","2.6977","8.71982","System.Object[]","System.Object[]"
"4-8","253786","Don't Mess with Cthulhu Deluxe","0","1","4-8","1.2353","7.33806","System.Object[]","System.Object[]"
"1-4","368173","Let's Go! To Japan","0","1","1-4","2.25","7.5811","System.Object[]","System.Object[]"
"1-5","230251","Mint Delivery","0","1","1-5","1.6316","6.1537","System.Object[]","System.Object[]"
"1-4","304510","Pampero","0","1","1-4","3.94","7.46082","System.Object[]","System.Object[]"
"1-4","375459","Speakeasy","0","1","1-4","4.4119","8.45963","System.Object[]","System.Object[]"
"1-4","408253","Tiny Epic Cthulhu: Deluxe Edition","0","1","1-4","3","7.31833","System.Object[]","System.Object[]"
